Guid	ID	Name	LocalizedName	#	Shortcut
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	16416	WorkflowDesigner.ExpandAll	ワークフローデザイナー.すべて展開	2	ワークフロー デザイナー::Ctrl+E, X
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17664	WorkflowDesigner.NavigateThroughDesigner	ワークフローデザイナー.デザイナー間の移動	1	ワークフロー デザイナー::Ctrl+Alt+F6
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17152	WorkflowDesigner.ShowHideArgumentDesigner	ワークフローデザイナー.引数デザイナーの表示非表示	1	ワークフロー デザイナー::Ctrl+E, Ctrl+A
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17152	WorkflowDesigner.ShowHideArgumentDesigner	ワークフローデザイナー.引数デザイナーの表示非表示	2	ワークフロー デザイナー::Ctrl+E, A
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17168	WorkflowDesigner.ShowHideVariableDesigner	ワークフローデザイナー.変数デザイナーの表示非表示	1	ワークフロー デザイナー::Ctrl+E, Ctrl+V
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17168	WorkflowDesigner.ShowHideVariableDesigner	ワークフローデザイナー.変数デザイナーの表示非表示	2	ワークフロー デザイナー::Ctrl+E, V
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17200	WorkflowDesigner.ShowHideImportsDesigner	ワークフローデザイナー.インポートデザイナーの表示非表示	1	ワークフロー デザイナー::Ctrl+E, Ctrl+I
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17200	WorkflowDesigner.ShowHideImportsDesigner	ワークフローデザイナー.インポートデザイナーの表示非表示	2	ワークフロー デザイナー::Ctrl+E, I
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17184	WorkflowDesigner.ShowHideOverviewMap	ワークフローデザイナー.概要マップの表示非表示	1	ワークフロー デザイナー::Ctrl+E, Ctrl+O
{6AB63085-C130-42CB-A868-CD9A1BCB9DFE}	17184	WorkflowDesigner.ShowHideOverviewMap	ワークフローデザイナー.概要マップの表示非表示	2	ワークフロー デザイナー::Ctrl+E, O
